#"symb" 	 	"row" 		"col"  	  	"Tc" 		"Mol. Frac. of H_2"
"Ce" 	 		8 	 		4 	 		NA 	 		NA
"Pr" 	 		8 	 		5 	 		NA 	 		NA
"Nd" 	 		8 	 		6 	 		NA 	 		NA
"Pm" 	 		8 	 		7 	 		NA 	 		NA
"Sm" 	 		8 	 		8 	 		NA 	 		NA
"Eu" 	 		8 	 		9 	 		NA 	 		NA
"Gd" 	 		8 	 		10 	 		NA 	 		NA
"Tb" 	 		8 	 		11 	 		NA 	 		NA
"Dy" 	 		8 	 		12 	 		NA 	 		NA
"Ho" 	 		8 	 		13 	 		NA 	 		NA
"Er" 	 		8 	 		14 	 		NA 	 		NA
"Tm" 	 		8 	 		15 	 		NA 	 		NA
"Yb" 	 		8 	 		16 	 		NA 	 		NA
"Lu" 	 		8 	 		17 	 		NA 	 		NA
"Hf" 	 		6 	 		4 	 		NA 	 		NA
"Ta" 	 		6 	 		5 	 		NA 	 		NA
"W" 	 		6 	 		6 	 		NA 	 		NA
"Re" 	 		6 	 		7 	 		NA 	 		NA
"Os" 	 		6 	 		8 	 		NA 	 		NA
"Ir" 	 		6 	 		9 	 		NA 	 		NA
"Pt" 	 		6 	 		10 	 		NA 	 		NA
"Au" 	 		6 	 		11 	 		NA 	 		NA
"Hg" 	 		6 	 		12 	 		NA 	 		NA
"Tl" 	 		6 	 		13 	 		NA 	 		NA
"Pb" 	 		6 	 		14 	 		NA 	 		NA
"Bi" 	 		6 	 		15 	 		NA 	 		NA
"Po" 	 		6 	 		16 	 		NA 	 		NA
"At" 	 		6 	 		17 	 		NA 	 		NA
"Rn" 	 		6 	 		18 	 		NA 	 		NA
"Fr" 	 		7 	 		1 	 		NA 	 		NA
"Ra" 	 		7 	 		2 	 		NA 	 		NA
"Ac" 	 		9 	 		3 	 		NA 	 		NA
"Th" 	 		9 	 		4 	 		NA 	 		NA
"Pa" 	 		9 	 		5 	 		NA 	 		NA
"U" 	 		9 	 		6 	 		NA 	 		NA
"Np" 	 		9 	 		7 	 		NA 	 		NA
"Pu" 	 		9 	 		8 	 		NA 	 		NA
"Am" 	 		9 	 		9 	 		NA 	 		NA
"Cm" 	 		9 	 		10 	 		NA 	 		NA
"Bk" 	 		9 	 		11 	 		NA 	 		NA
"Cf" 	 		9 	 		12 	 		NA 	 		NA
"Es" 	 		9 	 		13 	 		NA 	 		NA
"Fm" 	 		9 	 		14 	 		NA 	 		NA
"Md" 	 		9 	 		15 	 		NA 	 		NA
"No" 	 		9 	 		16 	 		NA 	 		NA
"Lr" 	 		9 	 		17 	 		NA 	 		NA
"Rf" 	 		7 	 		4 	 		NA 	 		NA
"Db" 	 		7 	 		5 	 		NA 	 		NA
"Sg" 	 		7 	 		6 	 		NA 	 		NA
"Bh" 	 		7 	 		7 	 		NA 	 		NA
"Hs" 	 		7 	 		8 	 		NA 	 		NA
"Mt" 	 		7 	 		9 	 		NA 	 		NA
"Ds" 	 		7 	 		10 	 		NA 	 		NA
"Rg" 	 		7 	 		11 	 		NA 	 		NA
"Cn" 	 		7 	 		12 	 		NA 	 		NA
"Uut" 	 		7 	 		13 	 		NA 	 		NA
"Uuq" 	 		7 	 		14 	 		NA 	 		NA
"Uup" 	 		7 	 		15 	 		NA 	 		NA
"Uuh" 	 		7 	 		16 	 		NA 	 		NA
